ReleaseTitle,VersionName,LabelName,Format,PressingCountry,PressingYear,CatalogNumber,Notes
Abbey Road,Original UK First Pressing,Apple Records,Vinyl,UK,1969,PCS 7088,Misaligned apple logo on back cover
Abbey Road,50th Anniversary Deluxe Edition,Apple Records,Vinyl,UK,2019,0602577915124,180g heavyweight vinyl remastered by Giles Martin
Abbey Road,Standard CD Edition,Apple Records,CD,UK,1987,CDP 7 46446 2,First digital master
Revolver,Original Mono Pressing,Parlophone,Vinyl,UK,1966,PMC 7009,The definitive mono mix
Revolver,2022 Special Edition,Apple Records,Vinyl,UK,2022,0602445599416,New stereo mix using de-mixing technology
OK Computer,Original Gatefold Vinyl,Parlophone,Vinyl,UK,1997,NODATA 02,Original blue labels
OK Computer,OKNOTOK 1997 2017,XL Recordings,Vinyl,UK,2017,XLP868,20th anniversary with 3 unreleased tracks
OK Computer,Standard US CD,Capitol Records,CD,USA,1997,7243 8 55229 2 5,Standard jewel case
Nevermind,Original US Vinyl,DGC,Vinyl,USA,1991,DGC-24425,Pallas pressing
Nevermind,30th Anniversary Super Deluxe,Geffen Records,Vinyl,USA,2021,B0034225-01,8LP + 7-inch box set
Nevermind,Standard CD,DGC,USA,1991,DGCD-24425,Original CD release
A Night at the Opera,UK First Pressing,EMI,Vinyl,UK,1975,EMTC 103,Blair's cut
A Night at the Opera,30th Anniversary Collectors Edition,Parlophone,CD,UK,2005,0946 338458 2 0,CD + DVD set
3,Standard Edition,M-TP Entertainment,CD,Vietnam,2019,NGOT-003,Photo book included
3,Limited Cassette Edition,M-TP Entertainment,Cassette,Vietnam,2019,NGOT-CAS-003,Limited to 300 copies
dreAMEE,Special Edition Box Set,ST.319 Entertainment,CD,Vietnam,2020,AMEE-001,Includes poster and photo cards
99%,Standard Edition,Baron,CD,Vietnam,2023,MCK-99,Jewel case
After Hours,Limited Gold/Red Splatter Vinyl,XO,Vinyl,USA,2020,B0031890-01,Webstore exclusive
After Hours,Standard CD,XO,CD,USA,2020,B0031890-02,Standard US retail
CASE STUDY 01,Standard CD,Republic Records,CD,USA,2019,B0030612-02,Standard edition
Illmatic,Original US Vinyl,Columbia,Vinyl,USA,1994,C 57684,The hip hop masterpiece
Illmatic,XX 20th Anniversary,Columbia,Vinyl,USA,2014,88843055471,Remastered with bonus disc
My Beautiful Dark Twisted Fantasy,Triple Vinyl Box Set,Def Jam,Vinyl,USA,2010,B0014695-01,Includes 5 interchangeable inserts
Cowboy Bebop OST,Limited Swordfish II Edition,Victor,Vinyl,Japan,2020,VTJL-1,Red vinyl
Luv(sic) Hexalogy,Complete Collection,Hydeout Productions,CD,Japan,2015,HPD18,Two-disc set
Swimming,Limited Blue Reissue,Warner Records,Vinyl,USA,2018,573030-1,Blue vinyl reissue
Isolation,Blue Transparent Vinyl,Virgin,Vinyl,USA,2018,B0028243-01,Blue transparent vinyl
Ivory,Standard Black Vinyl,Warner Records,Vinyl,USA,2022,093624869849,Standard black vinyl
IV,Double Gatefold Vinyl,Innovative Leisure,Vinyl,USA,2016,IL2036,Double LP in gatefold
For Emma Forever Ago,Original US Vinyl,Jagjaguwar,Vinyl,USA,2008,JAG115,Original US vinyl
Pony,Standard White Vinyl,Sony Music,Vinyl,UK,2019,19075955401,Standard white vinyl
